Enemy,Ability,Descrizione Breve,VFX,Richiede Feedback Audio,Priority,Cooldown,Cooldown to attack again,Effect Duration,VFX duration
EN-DronePirate,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
EN-ZombieShip_00,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,0,20,10,,
,LockOn,Ferma e aumenta il danno e l'accuracy per qualche istante,Sparks Still,SI,2,30,10,,
EN-ZombieShip_01,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,0,20,10,,
,LockOn,Ferma e aumenta il danno e l'accuracy per qualche istante,Sparks Still,SI,2,30,10,,
EN-Drone_Support,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,0,20,10,,
,CoverFire,Rallenta e aumenta il rateo di fuoco (l'accuracy è diminuita),NO,SI,1,31,10,,
,Sprint,"Aumenta la velocità max per qualche istante, con un boost di moviemnto",Sparks Trail,NO,0,9,3,,
EN-Jammer,Jammer,"Esegue una manovra evasiva, ricarica lo scudo e spara missili",SI,SI,4,,,,
,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,LockOn,Ferma e aumenta il danno e l'accuracy per qualche istante,Sparks Still,SI,2,30,10,,
EN-ScalpedRaider,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,0,20,10,,
,Sprint,"Aumenta la velocità max per qualche istante, con un boost di moviemnto",Sparks Trail,NO,0,9,3,,
,CoverFire,Rallenta e aumenta il rateo di fuoco (l'accuracy è diminuita),NO,SI,1,31,10,,
,,,,,,,,,
EN-ArmedScalped,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,0,20,10,,
,Sprint,"Aumenta la velocità max per qualche istante, con un boost di moviemnto",Sparks Trail,NO,0,9,3,,
,CoverFire,Rallenta e aumenta il rateo di fuoco (l'accuracy è diminuita),NO,SI,1,31,10,,
,LastBreath,Esegue una manovra evasiva e ricarica lo scudo,NO,SI,3,,,,
EN-BatikiMining,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,0,20,10,,
,Sprint,"Aumenta la velocità max per qualche istante, con un boost di moviemnto",Sparks Trail,NO,0,9,3,,
,CoverFire,Rallenta e aumenta il rateo di fuoco (l'accuracy è diminuita),NO,SI,1,31,10,,
EN-BatikiGuard,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,0,20,10,,
,Sprint,"Aumenta la velocità max per qualche istante, con un boost di moviemnto",Sparks Trail,NO,0,9,3,,
,LockOn,Ferma e aumenta il danno e l'accuracy per qualche istante,Sparks Still,SI,2,30,10,,
,,,,,,,,,
EN-BatikiCargo,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,0,20,10,,
,Sprint,"Aumenta la velocità max per qualche istante, con un boost di moviemnto",Sparks Trail,NO,0,9,3,,
,LockOn,Ferma e aumenta il danno e l'accuracy per qualche istante,Sparks Still,SI,2,30,10,,
,CoverFire,Rallenta e aumenta il rateo di fuoco (l'accuracy è diminuita),NO,SI,1,31,10,,
,LastBreath,Esegue una manovra evasiva e ricarica lo scudo,NO,SI,3,,,,
,,,,,,,,,
EN-SisterHoe,BarrelRoll,Esegue una piroetta,NO,NO,1,12,2,,
,StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,0,20,10,,
,Sprint,"Aumenta la velocità max per qualche istante, con un boost di moviemnto",Sparks Trail,NO,0,9,3,,
,CoverFire,Rallenta e aumenta il rateo di fuoco (l'accuracy è diminuita),NO,SI,1,31,10,,
