,,,,,,,,,
Abilities,Descrizione Breve,VFX,Richiede Feedback,A durata?,Priority Base,Cooldown Base,Cooldown to attack again Base,,Modifiche ...
LastBreath,Esegue una manovra evasiva e ricarica lo scudo,NO,SI,si (animazione),3,,,,
BarrelRoll,Esegue una piroetta,NO,NO,si (animazione),1,12,2,,
Sprint,"Aumenta la velocità max per qualche istante, con un boost di moviemnto",Sparks Trail,NO,si,0,9,3,,
StopAndSearch,"Rallenta e ferma temporaneamente, aumenando la manovrabilità",NO,NO,si,0,20,10,,
CoverFire,Rallenta e aumenta il rateo di fuoco (l'accuracy è diminuita),NO,SI,si,1,31,10,,
LockOn,Ferma e aumenta il danno e l'accuracy per qualche istante,Sparks Still,SI,si,2,30,10,,
IntegrityRecover,Ricarica l'integrità,Sparks Still,SI,istantaneo,1,40,2,,
Jammer,"Esegue una manovra evasiva, ricarica lo scudo e spara missili",SI,SI,si (animazione),4,,,,
,,,,,,,,,
,,,,,,,,,
Abilità generiche con feedback,,,,,,,,,
Evasion,Manovra evasiva,,SI,,,,,,
Recharge,Ricarica lo scudo,,SI,,,,,,
Lancio il razzo,,,SI,,,,,,
Voglio lanciare un razzo,,,SI,,,,,,
Softdeath,"Morte ""vado avanti ed esplodo""",,SI,,,,,,
LowHP,Quasi morte,,SI,,,,,,
