AssociatedNPC,RuleId,Base Tier,Integrity,Shield,Damage med,Damage Secondary med,Accuracy Primary,Primary Attack rate,DPS med,InGame,IsBoss,,,Copy,,DEFAULT TIER SCALING,,,,,,,
EN-DronePirate,TutorialDrone,0,1100,0,425,150,0.7,4,1190,TRUE,FALSE,,,,,Integrity,Shield,Shield Recharge Per Unit,Shield Delay Recharge Per Unit,Damage,Damage Secondary,,
"EN-Zanion, EN-SuperZanion",TutorialCreature,0,1200,0,300,150,0.5,0.5,75,TRUE,FALSE,,,,,0.2,0.2,0.2,-0.1,0.4,0.1,,
"EN-ZombieShip_00, EN-ZombieShip_01, EN-ZombieGold, EN-ZombieIron",DroneMZombieNoShield,0,4000,0,150,800,0.75,5,562,TRUE,FALSE,,,,,,,,,,,,
EN-Drone_Support,DroneBalanced,0,1200,5000,525,150,0.7,5,1837,FALSE,FALSE,,,,,,,,,,,,
EN-Jammer,RaiderMBalanced,0,19000,9000,675,3000,0.9,9,5467,TRUE,TRUE,,,,,,,,,,,,
EN-Dyrcona,RaiderMDefensive,0,18000,15000,930,150,0.85,7,5533,FALSE,TRUE,,,,,,,,,,,,
EN-Oran,RaiderBOffensive,0,12000,10000,1030,1500,0.85,5,4377,FALSE,TRUE,,,EN-DronePirate,,,,,,,,,
EN-Ubique,RaiderMOffensive,0,15000,10000,750,3000,0.85,10,6375,FALSE,TRUE,,,,,,,,,,,,
EN-Faceless,RaiderMOffensive,0,15000,10000,750,3000,0.85,10,6375,FALSE,TRUE,,,,,,,,,,,,
EN-Reyton,RaiderMOffensive,0,15000,10000,750,3000,0.85,10,6375,FALSE,TRUE,,,,,,,,,,,,
EN-Semper,RaiderMOffensive,0,15000,10000,750,3000,0.85,10,6375,FALSE,TRUE,,,,,,,,,,,,
EN-Tonath,RaiderMOffensive,0,15000,10000,750,3000,0.85,10,6375,FALSE,TRUE,,,,,,,,,,,,
EN-Dawn,RaiderMBalanced,0,19000,9000,675,3000,0.9,9,5467,FALSE,FALSE,,,"EN-Zanion, EN-SuperZanion",,,,,,,,,
EN-Set,RaiderMBalanced,0,19000,9000,675,3000,0.9,9,5467,FALSE,FALSE,,,,,,,,,,,,
EN-ScalpedRaider,DroneMWeak_Heavy,0,6500,0,350,150,0.75,5,1312,TRUE,FALSE,,,,,,,,,,,Ship,
EN-ArmedScalped,DroneMBalanced,0,5500,5000,500,150,0.75,4,1500,TRUE,FALSE,,,,,,,,,,,,
EN-BatikiMining,DroneSBalancedNoShield,0,5500,0,300,150,0.75,5,1125,TRUE,FALSE,Gialle,Gamma,,,,,,,,,,
EN-BatikiGuard,DroneSBalanced,1,6000,2400,525,165,0.75,5,1968,TRUE,FALSE,Verdi,Beta,,,,,,,,Tier1,primary,2925
EN-BatikiCargo,EliteSBalanced,0,5500,2500,450,150,0.75,5,1687,TRUE,FALSE,Bianche,Alpha,,,,,,,,,Integrated,1400
EN-Murena,CreatureFast,0,2680,0,750,150,0.4,2,600,TRUE,FALSE,,,,,,,,,,,primarie totale,4325
KO-Whale,Colossus,0,600000,0,1000,150,0.5,2,1000,FALSE,FALSE,,,,,,,,,,,primarie su scudo,432.5
EN-Rodolfo,RaiderDefensive,0,18000,36000,800,150,0.4,2.5,800,FALSE,FALSE,,,,,,,,,,,laser,4500
"EN-TR_SH01, EN-TR_SH02",DroneCargo,0,20000,1000,300,150,0.5,2,300,FALSE,FALSE,,,,,,,,,,,,
"EN-Drone_Cargo_01, EN-Drone_Cargo_02",DroneCargo_Escape,1,12000,600,420,165,0.5,2,420,FALSE,FALSE,,,,,,,,,,,,
"EN-FI_SH01, EN-FI_SH02, EN-FI_SH03",AllyBalanced,0,10500,3000,200,250,0.4,7,560,FALSE,FALSE,,,,,,,,,,,,
"EN-GM_SH02, EN-GM_SH03",DroneSBalancedNoShield,0,5500,0,300,150,0.75,5,1125,FALSE,FALSE,,,,,,,,,,,,
EN-EmpireCapitalShip,Capital,0,420000,0,1000,150,0.3,2,600,FALSE,FALSE,,,"EN-ZombieShip_00, EN-ZombieShip_01, EN-ZombieGold, EN-ZombieIron",,,,,,,,,
"EN-GhostSpider, EN-GhostOgre, EN-GhostOgre, EN-GhostPriest, EN-GhostMask",CreatureFast,0,2680,0,750,150,0.4,2,600,FALSE,FALSE,,,,,,,,,,,,
"EN-MamaDraga, EN-HeraldMiner",DroneCargo,0,20000,1000,300,150,0.5,2,300,FALSE,FALSE,,,EN-DronePirate,,,,,,,,,
