(ID),Label,BriefDescription,EntityType,BasePrice,BaseRarity,Icon,LabelKey,DescriptionKey,ProducerIcon,ModuleType,Quality,,,,,,,,ModuleType BAKCUP 26.03.26
COL-Crystal,Crystal,[C],Collectable,12,Uncommon,T_COL_Crystal,COL-Crystal-Name,COL-Crystal-Description,,,,,,,,,,,
COL-Gold,Gold,[C],Collectable,10,Common,T_COL_Gold,COL-Gold-Name,COL-Gold-Description,,,,,,,,,,,
COL-Aluminium,Aluminium,[C],Collectable,6,Common,T_COL_Aluminium,COL-Aluminium-Name,COL-Aluminium-Description,,,,,,,,,,,
COL-MetalJunk,Metal Junk,[C],Collectable,2,Salvage,T_COL_Iron,COL-MetalJunk-Name,COL-MetalJunk-Description,,,,,,,,,,,
COL-Radium,Radium,[C],Collectable,15,Epic,T_COL_Radium,COL-Radium-Name,COL-Radium-Description,,,,,,,,,,,
COL-Recondigen,Recondigen,[C],Collectable,13,Epic,T_COL_Orichalcum,COL-Recondigen-Name,COL-Recondigen-Description,,,,,,,,,,,
COL-IC_Raw,Ionic Coal,"Early Imperial explorers dismissed this strange coal, until raiders found it shields brainwaves, and maybe more.",Consumable,8,Epic,T_CON_IC_Raw_Base,COL-IC_Raw-Name,COL-IC_Raw-Description,,,,,,,,,,,
COL-EngineSphere,Not Found,Used to power up the Monolith Door Engines,Collectable,0,Epic,,COL-EngineSphere-Name,COL-EngineSphere-Description,TTF,,,,,,,,,,
COL-RehunRelic,Rehun,The biological remnant of Ban Krylam. Emits a bioecho reacting to the Colossi or their remains.,Collectable,0,Uncommon,T_COL_Bolognum,COL-RehunRelic-Name,COL-RehunRelic-Description,TTF,,,,,,,,,,
COL-IC_Green_Light,G-Light Ion,A simple Ionic product that soothes nerves and calms the raider’s mind.,Consumable,20,Common,T_CON_IC_Raw_Base,COL-IC_Green_Light-Name,COL-IC_Green_Light-Description,,,,,,,,,,,
COL-IC_Green,G-Ion,"Enhanced version of G-Light Ion, processed with raw iron for stronger calming effect.",Consumable,250,Uncommon,T_CON_IC_Raw_Base,COL-IC_Green-Name,COL-IC_Green-Description,,,,,,,,,,,
COL-IC_Green_Dark,Green Dark Ionic Coal,Green Dark Ionic Coal,Consumable,500,Rare,T_CON_IC_Raw_Base,COL-IC_Green_Dark-Name,COL-IC_Green_Dark-Description,,,,,,,,,,,
COL-IC_White_Light,W-Light Ion,"Used on weak minds, W-Light Ion can cause serious damage. Raiders use it to boost performance.",Consumable,250,Uncommon,T_CON_IC_Raw_Base,COL-IC_White_Light-Name,COL-IC_White_Light-Description,,,,,,,,,,,
COL-IC_Red_Light,R-Light Ion,"Before battle, some raiders gather to face the R-Light Ion together, surrendering to mystical exaltation.",Consumable,250,Uncommon,T_CON_IC_Raw_Base,COL-IC_Red_Light-Name,COL-IC_Red_Light-Description,,,,,,,,,,,
COL-IC_Orange_Light,O-Light Ion,"The Gold Guild once combined different Ionics, creating a powerful mental booster tied to G-Light and R-Light concentrations, until one raider revealed the secret.",Consumable,5,Common,T_CON_IC_Raw_Base,COL-IC_Orange_Light-Name,COL-IC_Orange_Light-Description,,,,,,,,,,,
COL-WeaponCoolerA_S,Cooler,Isaac Greyling began trading with Neterun thanks to this consumable’s strengths. Its flaws later let the Empire requisition it for free.,Consumable,5,Common,,COL-WeaponCoolerA_S-Name,COL-WeaponCoolerA_S-Description,,,,,,,,,,,
COL-WeaponCoolerA_M,M-weapon cooler,"Slightly better than the previous model, it highlights how the Isaac Greyling Foundry stopped investing in cooler improvements.",Consumable,25,Uncommon,,COL-WeaponCoolerA_M-Name,COL-WeaponCoolerA_M-Description,,,,,,,,,,,
COL-WeaponCoolerA_L,L-weapon cooler,This excellent cooler is an unlicensed modified version of the previous model. Greyling tried to claim rights but then changed his mind.,Consumable,100,Rare,,COL-WeaponCoolerA_L-Name,COL-WeaponCoolerA_L-Description,,,,,,,,,,,
COL-WeaponCoolerB,K&B Smoother,"The K&B heatsink improves on all competitors. Early prototypes exploded, but later versions met safety standards.",Consumable,1,Common,,COL-WeaponCoolerB-Name,COL-WeaponCoolerB-Description,,,,,,,,,,,
COL-PowerFuel_S,Powerfuel S,Fuel mix with old nootropic compounds. Increases top speed for a short time.,Consumable,5,Common,,COL-PowerFuel_S-Name,COL-PowerFuel_S-Description,,,,,,,,,,,
COL-PowerFuel_M,Powerfuel M,"Like Powerfuel S, it boosts speed but lasts longer.",Consumable,20,Uncommon,,COL-PowerFuel_M-Name,COL-PowerFuel_M-Description,,,,,,,,,,,
COL-PowerFuel_L,Powerfuel L,"The best speed booster, with the longest duration.",Consumable,75,Rare,,COL-PowerFuel_L-Name,COL-PowerFuel_L-Description,,,,,,,,,,,
COL-AimBoost_S,Aimtrain S,"A Rebext dopaminergic compound that enhances accuracy. Constantly modified, its original recipe is long forgotten, or deliberately lost.",Consumable,1,Common,,COL-AimBoost_S-Name,COL-AimBoost_S-Description,,,,,,,,,,,
COL-AimBoost_M,Aimtrain M,A stronger derivative of Aimtrain S. Rumored to exist in ingestible form.,Consumable,50,Uncommon,,COL-AimBoost_M-Name,COL-AimBoost_M-Description,,,,,,,,,,,
COL-AimBoost_L,Aimtrain L,Rebext’s pride and the longest-lasting aim booster. A key tool in the victory against the Mhafeks.,Consumable,100,Rare,,COL-AimBoost_L-Name,COL-AimBoost_L-Description,,,,,,,,,,,
COL-PowerAmmo,Purger Alpha,"An Entity gem from Old Joe’s mind: lose something, gain something. Here, firepower is the gain.",Consumable,1,Common,,COL-PowerAmmo-Name,COL-PowerAmmo-Description,,,,,,,,,,,
COL-WeaponOverloadA,Gunner B,"""Never lose your way."" Tolec’s slogan suits the GunnerX, which boosts weapon power.",Consumable,1,Common,,COL-WeaponOverloadA-Name,COL-WeaponOverloadA-Description,,,,,,,,,,,
COL-WeaponOverloadB,Gunner B+,"Tolec’s founder Abby once called herself a pacifist. After her ousting, the company turned to weapons, and with Gunner B+, pacifism became a memory.",Consumable,50,Uncommon,,COL-WeaponOverloadB-Name,COL-WeaponOverloadB-Description,,,,,,,,,,,
COL-NetShieldEnhancer_S,Neterhold,"Its processes remain unknown, but the Neterhold recharges and enhances raider shields. Found near Neterun ruins of uncertain origin.",Consumable,10,Common,,COL-NetShieldEnhancer_S-Name,COL-NetShieldEnhancer_S-Description,,,,,,,,,,,
COL-NetShieldEnhancer_M,Neterhorld Improved,"Similar to the Neterhold, it recharges shields with slightly longer duration. Contains traces of echilium.",Consumable,50,Uncommon,,COL-NetShieldEnhancer_M-Name,COL-NetShieldEnhancer_M-Description,,,,,,,,,,,
COL-NetShieldEnhancer_L,Neterhold Extended,"In addition to restoring the body’s shield, it increases its power for a time. Rare, found in remote and dangerous areas, often guarded by the Alters.",Consumable,200,Rare,,COL-NetShieldEnhancer_L-Name,COL-NetShieldEnhancer_L-Description,,,,,,,,,,,
COL-ShieldRecover_S,ShieldTech X,"Developed by Abby’s Shield, it bypasses safety locks in the generator’s grid to restore shields faster.",Consumable,5,Common,,COL-ShieldRecover_S-Name,COL-ShieldRecover_S-Description,,,,,,,,,,,
COL-ShieldRecover_M,ShieldTech XX,"Abby opposed tampering with her shield designs, which she saw as art. But after losing control of her company, others enhanced the model beyond safety limits.",Consumable,25,Uncommon,,COL-ShieldRecover_M-Name,COL-ShieldRecover_M-Description,,,,,,,,,,,
COL-ShieldRecover_L,ShieldTech XXX,"Desperate as her shields were pushed to extremes, Abby witnessed the creation of Immun-Def L, the ultimate defense regenerator, charging shields to the limit without explosion.",Consumable,100,Rare,,COL-ShieldRecover_L-Name,COL-ShieldRecover_L-Description,,,,,,,,,,,
COL-IntegrityRecover_S,Helisum +,Soothes minor body injuries. Patented by Entity.,Consumable,15,Common,,COL-IntegrityRecover_S-Name,COL-IntegrityRecover_S-Description,,,,,,,,,,,
COL-IntegrityRecover_M,Helisum ++,Soothes serious body injuries. Patented by Entity.,Consumable,100,Uncommon,,COL-IntegrityRecover_M-Name,COL-IntegrityRecover_M-Description,,,,,,,,,,,
COL-IntegrityRecover_L,Helisum +++,Soothes critical body injuries. Patented by Entity.,Consumable,500,Rare,,COL-IntegrityRecover_L-Name,COL-IntegrityRecover_L-Description,,,,,,,,,,,
COL-StationSupply_A,Ubique Mnemonic File,A broken mnemonic record. Can reconstruct a neural fragment.,Consumable,10,Uncommon,,COL-StationSupply_A-Name,COL-StationSupply_A-Description,,,,,,,,,,,
COL-StationSupply_B,,[C],Consumable,10,Uncommon,,COL-StationSupply_B-Name,COL-StationSupply_B-Description,,,,,,,,,,,
COL-StationSupply_C,,,Consumable,10,Uncommon,,COL-StationSupply_C-Name,COL-StationSupply_C-Description,,,,,,,,,,,
COL-StationSupply_D,,,Consumable,10,Uncommon,,COL-StationSupply_D-Name,COL-StationSupply_D-Description,,,,,,,,,,,
COL-StationSupply_E,,,Consumable,10,Uncommon,,COL-StationSupply_E-Name,COL-StationSupply_E-Description,,,,,,,,,,,
COL-StationSupply_F,,,Consumable,10,Uncommon,,COL-StationSupply_F-Name,COL-StationSupply_F-Description,,,,,,,,,,,
COL-StationSupply_G,,,Consumable,10,Uncommon,,COL-StationSupply_G-Name,COL-StationSupply_G-Description,,,,,,,,,,,
