,,,,,,,,,,,,,24000,,24,,1625,,24,,,,,,,,,,,Max P1,Max P2,Max P3
,,,,,,,,,Max Boost,Max Stress,Max Hull,,Min Max Shield,,Min Max Power,,Min Max Heat,,Min Max Cargo,,,,,,,,,Min Max socket value,,,,
,,,,,,,,,,,,,6000,,8,,1875,,6,,,,,,,,,,,,,
,,,,,,,,,2,3,28000.00,,30000,,32,,3500,,30,,,,,,,,,18,,,,
MainBody (ID),ItemType,PowerConsumption,Incorporated,Quality,Price,Rarity,StaticMesh,ModuleType,BoosterSpeedMultiplier,StressDriveSpeedMultiplier,HullIntegrity,,Shield,,Power,,Heat,,Cargo,Socket1,Socket2,Socket3,Socket4,Socket1,Socket2,Socket3,Socket4,Socket Value,,,,
BODY00-StaringBody,Radar,0.00,FALSE,480,900.00,Uncommon,,MainBody,2,3,14000.00,ShieldGen_Tier0,6000.00,PowPlan_Tier0,8.00,HeatSink_Tier0,3500.00,InternalCargo_M,24.00,1,1,1,1,0,0,0,0,4,,4,0,0
BODY01-Spartan,Radar,0.00,FALSE,770,2700.00,Legendary,,MainBody,2,3,25000.00,ShieldGen_Tier0,6000.00,PowPlan_Tier2,26.00,HeatSink_Tier2,5200.00,InternalCargo_M,24.00,1,1,3,3,0,0,0,0,10,,10,4,2
BODY02-Dragon,Radar,0.00,FALSE,690,2100.00,Mythic,,MainBody,2,3,18000.00,ShieldGen_Tier1,14000.00,PowPlan_Tier2,26.00,HeatSink_Tier1,4200.00,InternalCargo_M,24.00,2,2,1,1,0,0,0,0,6,,6,2,0
BODY03-Principal,Radar,0.00,FALSE,550,1300.00,Rare,,MainBody,2,3,15000.00,ShieldGen_Tier0,6000.00,PowPlan_Tier1,13.00,HeatSink_Tier1,4200.00,InternalCargo_M,24.00,1,1,1,2,0,0,0,0,5,,5,1,0
BODY04-AppioBody,Radar,0.00,FALSE,550,1300.00,Rare,,MainBody,2,3,14000.00,ShieldGen_Tier1,14000.00,PowPlan_Tier1,13.00,HeatSink_Tier0,3500.00,InternalCargo_M,24.00,1,1,1,1,0,0,0,0,4,,4,0,0
BODY02a-Dragon_Iron,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,0,0,0
BODY02b-Dragon_Gold,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,0,0,0
BODY10-IronBody,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,0,0,0
BODY11-GoldBody,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,0,0,0
BODY12-MaalaxmiBody,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,0,0,0
BODY13-AlienBody,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,0,0,0
BODY14-IronScale,Radar,0.00,FALSE,840,3200.00,Legendary,,MainBody,2,3,28000.00,ShieldGen_Tier1,14000.00,PowPlan_Tier2,26.00,HeatSink_Tier1,4200.00,InternalCargo_M,24.00,3,3,3,3,0,0,0,0,16,,16,8,4
BODY15-GoldWings,Radar,0.00,FALSE,840,3200.00,Legendary,,MainBody,2,3,20000.00,ShieldGen_Tier2,22000.00,PowPlan_Tier2,26.00,HeatSink_Tier1,4200.00,InternalCargo_M,24.00,3,3,3,3,0,0,0,0,16,,16,8,4
BODY16-IronScaleRust,Radar,0.00,FALSE,800,2900.00,Legendary,,MainBody,2,3,26000.00,ShieldGen_Tier0,6000.00,PowPlan_Tier2,26.00,HeatSink_Tier2,5200.00,InternalCargo_M,24.00,3,3,2,2,0,0,0,0,12,,12,6,2
BODY17-GoldWingsDust,Radar,0.00,FALSE,770,2700.00,Legendary,,MainBody,2,3,12000.00,ShieldGen_Tier3,30000.00,PowPlan_Tier2,26.00,HeatSink_Tier0,3500.00,InternalCargo_M,24.00,3,3,2,2,0,0,0,0,12,,12,6,2
SBDY01-SuperEagle,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,0,0,0
SBDY01-Eagle,Radar,0.00,FALSE,860,3400.00,Legendary,,MainBody,1.7,2.4,18000.00,ShieldGen_Tier2,22000.00,PowPlan_Tier2,26.00,HeatSink_Tier2,5200.00,InternalCargo_M,24.00,3,3,2,2,1,1,1,1,16,,16,6,2
SBDY02-Classic,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,0,0,0
SBDY03-Fly,Radar,0.00,FALSE,780,2700.00,Legendary,,MainBody,2,2.7,22000.00,ShieldGen_Tier1,14000.00,PowPlan_Tier2,26.00,HeatSink_Tier2,5200.00,InternalCargo_M,24.00,2,2,2,2,0,0,0,0,8,,8,4,0
SBDY04-Fregade,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,0,0,0
SBDY05-Helicon,Radar,0.00,FALSE,940,4200.00,Legendary,,MainBody,1.8,2.5,20000.00,ShieldGen_Tier1,14000.00,PowPlan_Tier3,32.00,HeatSink_Tier3,6500.00,InternalCargo_M,24.00,3,3,2,3,3,0,0,0,18,,18,9,4
SBDY06-Blade,Radar,0.00,FALSE,870,3500.00,Legendary,,MainBody,1.8,2.5,15000.00,ShieldGen_Tier2,22000.00,PowPlan_Tier2,26.00,HeatSink_Tier3,6500.00,InternalCargo_M,24.00,3,3,1,1,2,0,0,0,12,,12,5,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BODY02a-Dragon_Iron,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0.00,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,,,
BODY02b-Dragon_Gold,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0.00,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,,,
BODY10-IronBody,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0.00,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,,,
BODY11-GoldBody,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0.00,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,,,
BODY12-MaalaxmiBody,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0.00,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,,,
BODY13-AlienBody,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0.00,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,,,
SBDY01-SuperEagle,Radar,0.00,FALSE,0,0.00,Salvage,,MainBody,0,0,0.00,ShieldGen_Tier0,0.00,PowPlan_Tier0,0.00,HeatSink_Tier0,0.00,InternalCargo_M,0.00,0,0,0,0,0,0,0,0,0,,,,
