,,,,,,,,,,,,,,,,,,,,,,,,,Avg Small EnemyHull,,,,v,,,,,,Avg Hull,Max Shield,,
,,,,,,,,,,,,,,,,,,,,,,,,,4220,,,,14250,,,,,,4220,1100,,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 0,,,,,,,,,,Avg Hull Boss,Max Shield Boss,,8.18
,,,,,VERIFICARE I WEAPON DA,,,,,,,,,,,,,,,,,,,,0,,,,,Min HeatSink,MAX POWER,,,,19000,9000,,
,,,,ROUND((AD10/$AD$2 + AE10/$AE$7 + (1 - C10/$C$7)) / 3 * ModuleRarity!$F$25),,,,,,,,,,,,,,,,,,,,,DPS Tier 1,,,,,1850,32,,,,,,,
,,Max power,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Min heat time,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 2,,,,,4.625,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Gatling,ItemType,PowerConsumption,Incorporated,Quality,Price,Rarity,StaticMesh,ModuleType,WeaponType,AmmoMagazineSize,Rate,ChargeTime,BaseDamageMin,BaseDamageMax,ProjectileSpeed,ProjectileAccuracy,ProjectileRange,RotableStructure,HeatGeneration,PrimaryAmmoType,CritChance,CritDamage,DPA,HPS,DPS,Socket,StationUnlock,Quality,DPS Check,Heat Check,In Game,NeededCost,,Enemies in game,Integrity,Shield,IsBoss,
MOD07-Gun_S_00,Radar,4.00,FALSE,499.00,500.00,Uncommon,,Weapon,Primary,-1,0.5,0.1,400,600,15000,0.95,20000,TRUE,80.00,BALANCED,0.02,1.50,500.00,80.00,959.50,2,SS-Sapphirum,499.00,7676,2.890625,SI,2000,,EN-DronePirate,1100,0,FALSE,
MOD07-Gun_S_01,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,TRUE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,"EN-Zanion, EN-SuperZanion",1200,0,FALSE,
MOD07-Gun_S_02,Radar,1.00,FALSE,612.00,800.00,Epic,,Weapon,Primary,-1,0.2,0.1,200,300,15000,0.85,20000,TRUE,125.00,BALANCED,0.02,1.50,250.00,125.00,1073.13,2,SS-Crystal,612.00,8585,1.85,SI,3200,,"EN-ZombieShip_00, EN-ZombieShip_01, EN-ZombieGold, EN-ZombieIron",4000,0,FALSE,
MOD07-Gun_S_03,Radar,3.00,FALSE,537.00,600.00,Rare,,Weapon,Primary,-1,0.1,0.1,100,190,15000,0.70,20000,TRUE,100.00,BALANCED,0,1.50,145.00,100.00,1015.00,1,SS-Opaleum,537.00,10150,1.85,SI,4800,,EN-Jammer,19000,9000,TRUE,
MOD07-Gun_S_07,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,EN-ScalpedRaider,6500,0,FALSE,
