,,,,,,,,,,,,,,,,,,,,,,,,Avg Enemy Hull,,,,,Avg Enemy Hull,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4220,,,,,14250,,,,Avg Hull,Max Shield,,
,,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 0,,,,,,,,,4220,1100,,4.5
,,,,,,,,,,,,,,,,,,,,,,,,1407,,,,,,Min HeatSink,MAX POWER,,Avg Hull Boss,Max Shield Boss,,8.18
,,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 1,,,,,,1850,32,,19000,9000,,
,,,,,,,,,,15,,,,,300,,10000,,,,,,,4220,,,,,,Min heat time,,,,,,
,,,,,100.00,,,,,,,,,,,,,,,,,,,DPS Tier 2,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6330,,,,,,,,,Avg Ghost,,,
Rocket Launcher,ItemType,PowerConsumption,Incorporated,Quality,Price,Rarity,StaticMesh,ModuleType,WeaponType,AmmoMagazineSize,Rate,ChargeTime,BaseDamageMin,BaseDamageMax,ProjectileSpeed,ProjectileAccuracy,ProjectileRange,RotableStructure,HeatGeneration,SecondaryAmmoType,CritChance,CritDamage,DPA,DPS,DPS (no crit),HPS,PrincipalSocket,,DPS Check,Heat Check,,,0.5,#DIV/0!,,
MOD12-RocketLauncher_M,Radar,2.00,FALSE,0.00,0.00,Salvage,,Weapon,Secondary,0,0,0,0,0,0,0,0,FALSE,0,ROCKET,0,0,0,0,0,0,,,0,0,,,,,,
MOD12a-RocketLauncher_M_Poor,Radar,2.00,FALSE,0.00,0.00,Salvage,,Weapon,Secondary,0,0,0,0,0,0,0,0,FALSE,0,ROCKET,0,0,0,0,0,0,,,0,0,,,,,,
MOD13-RocketLauncher_L,Radar,2.00,FALSE,0.00,0.00,Salvage,,Weapon,Secondary,0,0,0,0,0,0,0,0,FALSE,0,ROCKET,0,0,0,0,0,0,,,0,0,,,,,,
MOD13a-RocketLauncher_L_Poor,Radar,2.00,FALSE,0.00,0.00,Salvage,,Weapon,Secondary,0,0,0,0,0,0,0,0,FALSE,0,ROCKET,0,0,0,0,0,0,,,0,0,,,,,,
MOD14-AlienRocketLauncher_L,Radar,2.00,FALSE,0.00,0.00,Salvage,,Weapon,Secondary,0,0,0,0,0,0,0,0,FALSE,0,ROCKET,0,0,0,0,0,0,,,0,0,,Enemies in game,Integrity,Shield,IsBoss,
MOD30-RocketLauncher_S,Radar,2.00,FALSE,0.00,0.00,Salvage,,Weapon,Secondary,0,0,0,0,0,0,0,0,FALSE,0,ROCKET,0,0,0,0,0,0,,,0,0,,EN-DronePirate,1100,0,FALSE,
MOD30a-RocketLauncher_S_Poor,Radar,2.00,FALSE,443.00,400.00,Uncommon,,Weapon,Secondary,5,0.7,0.1,1500,2500,100,0.75,7500,TRUE,50.00,ROCKET,0.10,1.50,2000.00,2250.00,2142.86,71.43,1,,36000,0,#DIV/0!,"EN-Zanion, EN-SuperZanion",1200,0,FALSE,
MOD30b-StartingRocketLauncher,Radar,2.00,FALSE,460.00,100.00,Uncommon,,Weapon,Secondary,8,0.7,0.1,1000,1500,100,0.75,7500,TRUE,50.00,ROCKET,0.10,1.50,1250.00,1406.25,1339.29,71.43,1,,22500,0,,"EN-ZombieShip_00, EN-ZombieShip_01, EN-ZombieGold, EN-ZombieIron",4000,0,FALSE,
MOD57-RocketLauncherLevel_S,Radar,2.00,FALSE,0.00,0.00,Salvage,,Weapon,Secondary,0,0,0,0,0,0,0,0,FALSE,0,ROCKET,0,0,,,,,,,0,0,,EN-Jammer,19000,9000,TRUE,
MOD67-BladeRocketLauncher,Radar,1.00,FALSE,945.00,2100.00,Legendary,,Weapon,Secondary,15,0.4,0.1,2000,2500,300,0.8,10000,FALSE,10,ROCKET,0.2,1.5,2250.00,4950.00,4500.00,25.00,3,,19800,0,,EN-ScalpedRaider,6500,0,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN-ArmedScalped,5500,5000,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN-BatikiMining,5500,0,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,Avg Enemy Hull,,,,,,,,EN-BatikiGuard,6000,2400,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,EN-BatikiCargo,5500,2500,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 0,,,,,,,,EN-Murena,2680,0,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sonic Matter Shooter,ItemType,PowerConsumption,Incorporated,Quality,Price,,StaticMesh,ModuleType,WeaponType,AmmoMagazineSize,Rate,ChargeTime,BaseDamageMin,BaseDamageMax,ProjectileSpeed,ProjectileAccuracy,ProjectileRange,RotableStructure,HeatGeneration,SecondaryAmmoType,CritChance,CritDamage,DPA,DPS,DPS (no crit),HPS,PrincipalSocket,,,,,,,,,
MOD50-SonicMatterShooter_S,Radar,1.00,FALSE,0.00,0.00,Common,,Weapon,Secondary,90,0.5,0.1,4000,7500,8000,1,30000,TRUE,60.00,SONIC_MATTER,0,0,0,0,0,0,,,,,,,,,,
MOD50b-SonicMatterShooter_XS,Radar,3.00,FALSE,500.00,100.00,Common,,Weapon,Secondary,90,0.5,0.1,3000,7500,8000,1,30000,TRUE,60.00,SONIC_MATTER,0,0,0,0,0,0,1,,,,,,,,,
MOD51-SonicMatterShooter_M,Radar,1,FALSE,0.00,0.00,Common,,Weapon,Secondary,0,0,0,0,0,0,0,0,FALSE,0,SONIC_MATTER,0,0,0,0,0,0,,,,,,,,,,
MOD52-SonicMatterShooter_L,Radar,1,FALSE,0.00,0.00,Common,,Weapon,Secondary,0,0,0,0,0,0,0,0,FALSE,0,SONIC_MATTER,0,0,0,0,0,0,,,,,,,,,,
