QuestChainID,QuestID,Checkpoint,BlockSaveGame,IsStationRoomCheckpoint,OnActivate,OnComplete,WaitEventBeforePanel,ActorCenterEventId,FailDistance,Task0,Task0Text,Task0POI,Task1,Task1Text,Task1POI,Task2,Task2Text,Task2POI,Task3,Task3Text,Task3POI,Task4,Task4Text,Task4POI,FailEvent,Timer (seconds),OnEndTimerEvent,RollbackLocationId,DescriptionOverride
SY00Q00,SY00Q00_A,NO_CHECKPOINT,FALSE,FALSE,MSOE_IntroLimbo,,,,,EV_TSC_Visual,Shift perspective,,,//,,,//,,,//,,,//,,,,,,NONE
,,NO_CHECKPOINT,FALSE,FALSE,CS_CUT_SY00Q00_C,,,,,EV_CC_CUT_SY00Q00_C,//,,,//,,,//,,,//,,,//,,,,,,//
SY00Q00,SY00Q00_C,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_TSC_LookAround,Calibrate bionic eye,,EV_TSC_Move,Engage thrusters,,EV_TSC_Rotate,Sync rotation systems,,EV_TSC_UpDown,Sync vertical lift,,EV_TSC_Boost,Hit the boost,,,,,,NONE
SY00Q01,SY00Q01_A,NO_CHECKPOINT,TRUE,FALSE,"CS_CUT_OpenDoor_SY00Q00
MMAUTO_START
MSAE_LimboHorrorBegin
LD_SY00Q01_A",,,,,EV_CC_CUT_SY00Q01_B,Go ahead,[SYS_0 TS_SUB-Birth TS_Zone_ReachPoint],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q01,SY00Q01_C,CHECKPOINT_ALWAYS,TRUE,FALSE,,"ULD_SY00Q01_A
MSOE_FightTurretsLimbo
MMAUTO_STOP",,,,EV_DE_Turret-SY00Q01(8),Destroy all the training turrets,[SYS_0 TS_SUB-Birth TS_Turret-SY00Q01],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q02,SY00Q02_A,NO_CHECKPOINT,TRUE,FALSE,CS_CUT_OpenDoor_SY00Q01,MSAT_PRE_FIGHT,,,,EV_RP_Zone_ReachPoint2,Enter the second room,[SYS_0 TS_SUB-Birth TS_Zone_ReachPoint2],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q02,SY00Q02_B,CHECKPOINT_ALWAYS,TRUE,FALSE,LD_SY00Q02_B,"ULD_SY00Q02_B
CI_COL-IntegrityRecover_M(3)",,,,EV_WO_DroneWave_SY00Q02_B,Survive the drone attack,[SYS_0 TS_SUB-Birth TS_EN-DronePirate],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q03,SY00Q03_A0,NO_CHECKPOINT,TRUE,FALSE,"CS_CUT_OpenDoor_SY00Q02
LD_SY00Q03_A0","LD_SY00Q03_A1
CS_CUT_SY00Q03_A1",,,,EV_RP_Zone_SY00Q03_A,Reach Birthy Rock Station,[SYS_0 TS_SUB-BirthyRock],,//,,,//,,,//,,,,,,,,,NONE
SY00Q03,SY00Q03_A01,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_IC_INT-StationRec-BirthyRock,Sync with the Birthy Rock hub to land,[SYS_0 TS_SUB-BirthyRock TS_INT-StationRec-BirthyRock],,//,,,//,,,//,,,,,,,,,NONE
,,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_TSC_OpenRaiderLog,//,,,//,,,//,,,//,,,,,,,,,//
SY00Q03,SY00Q03_A,CHECKPOINT_ALWAYS,FALSE,TRUE,ULD_SY00Q03_A0,ULD_SY00Q03_A1,,,,EV_BU_MOD30b-StartingRocketLauncher,Take a Raiderizer in Birthy Rock Station,[SYS_0 TS_SUB-BirthyRock TS_SS-BirthyRock],,//,,,//,,,//,,,,,,,,,NONE
SY00Q03,SY00Q03_A1,CHECKPOINT_ALWAYS,FALSE,TRUE,,LD_SY00Q03_A,,,,EV_MM_MOD30b-StartingRocketLauncher,Mount the Raiderizer ,[SYS_0 TS_SUB-BirthyRock TS_SS-BirthyRock],,//,,,//,,,//,,,,,,,,,NONE
SY00Q03,SY00Q03_B,CHECKPOINT_SAFE,FALSE,FALSE,,,,,,EV_CA_COL-SonicMatter_Green(10),Collect ten Sonic Matter Units,"[SYS_0 TS_SUB-BirthyRock TS_EN-Zanion]
[SYS_0 TS_SUB-BirthyRock TS_COL-SonicMatter_Green]",,//,,,//,,,//,,,,,,,,BirthyRock-Station,"You are inside a Zanion nest. Kill them to collect thirty units of sonic matter, then deliver it to the Human Empire."
SY00Q03,SY00Q03_B1,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_DC_TST_SY00Q03_B1,Consult Homerus,,,//,,,//,,,//,,,,,,,,,NONE
SY00Q03,SY00Q03_C,CHECKPOINT_ALWAYS,FALSE,FALSE,,ULD_SY00Q03_A,,,,EV_SND_COL-SonicMatter,Use the Transponder to send sonic matter,[SYS_0 TS_SUB-BirthyRock TS_TM-SMTransponder_01],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q04,SY00Q04_A,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_EXG_SG-Stix,Locate the source of the distorted transmission,[SYS_0 TS_SUB-Prometheus],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q04,SY00Q04_A1,CHECKPOINT_ALWAYS,TRUE,FALSE,"LD_SY00Q04_A1
CS_CUT_SY00Q04_A1","ULD_SY00Q04_A1
",,,,EV_CC_CUT_SY00Q04_A1,[H] - wait for cutscene,,,//,,,//,,,//,,,,,,,,,NONE
SY00Q04,SY00Q04_B,NO_CHECKPOINT,TRUE,FALSE,"LD_SY00Q04_B
CS_CUT_SY00Q04_B0
MMAUTO_START
MSAE_TensionBeat","MSOE_TensionBeat
MMAUTO_STOP",,,,EV_AGC_TM-AntiGhost_01,Get to the Repulsion System and activate it,[SYS_0 TS_SUB-Prometheus TS_TM-AntiGhost_01],,//,,,//,,,//,,,//,,,,,,"Escape the Alters, who entered the area following a giant Colossus attack, and activate the Repulsion System to push them back."
SY00Q04,SY00Q04_B1,CHECKPOINT_ALWAYS,TRUE,FALSE,CS_CUT_SY00Q04_B,ULD_SY00Q04_B,,,,EV_CC_CUT_SY00Q04_B,[H] - wait for cutscene,,,,,,,,,,,,,,,,,,NONE
SY00Q04,SY00Q04_C,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_SR_Soul,Use the Stabilizer to recover your Stability,[SYS_0 TS_SUB-Prometheus TS_INT-SoulReset],,//,,,//,,,//,,,//,,,,,,Alters have lowered your Stability. Homerus advises using a Stabilizer.
SY00Q04,SY00Q04_D,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_DC_TST_SY00Q04_D,Consult Homerus,,,//,,,//,,,//,,,,,,,,,NONE
SY00Q05,SY00Q05_A0,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_IC_INT-ImperialAntenna_SY00Q05,Connect to the Imperial Node L-1,[SYS_0 TS_SUB-BirthyRock TS_INT-ImperialAntenna_SY00Q05],,//,,,//,,,//,,,,,,,,,NONE
SY00Q05,SY00Q05_A,CHECKPOINT_SAFE,FALSE,FALSE,,,,,,"EV_RP_Zone_ScrapYard_B, EV_RP_SS-Casbhangar",Go to E-Was Dump,[SYS_0 TS_SUB-BirthyRock TS_Zone_ScrapYard_B],,//,,,//,,,//,,,,,,,,,NONE
SY00Q05,SY00Q05_A1,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_CQ_SSDumpEvent,Eliminate the sources of the interference near Dump Station,[SYS_0 TS_SUB-BirthyRock TS_SS-Casbhangar],,//,,,//,,,//,,,,,,,,,"A group of reborn E-Was, raiders who should have been decommissioned, are causing trouble at the Dump Station. Eliminate them."
SY00Q05,SY00Q05_B,CHECKPOINT_ALWAYS,FALSE,TRUE,LD_SY00Q05_C,,,,,EV_DC_TC_SY00Q05_A1,Consult Homerus,,,,,,,,,,,,,,,,,,NONE
SY00Q05,SY00Q05_C,CHECKPOINT_ALWAYS,FALSE,FALSE,,ULD_SY00Q05_C,,,,EV_IC_INT-MemoryFragment_Jammer00,Examine the neural fragment,[SYS_0 TS_SUB-BirthyRock TS_INT-MemoryFragment_Jammer00],,,,,,,,,,,,,,,,,"You discovered that the E-Was were reborn because of an abandoned neural fragment, a raider memory. Examine it."
SY00Q06,SY00Q06_A,NO_CHECKPOINT,FALSE,FALSE,LD_SY00Q06_QuestZone,ULD_SY00Q06_QuestZone,,,,EV_RP_Zone_FaceDepot,Go to Cage Control Area,[SYS_0 TS_SUB-Prometheus TS_Zone_FaceDepot],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q06,SY00Q06_B,CHECKPOINT_ALWAYS,TRUE,FALSE,"LD_SY00Q06_A
MMAUTO_START
MSAE_LimboFight-NoLevel",ULD_SY00Q06_A,,Zone_FaceDepot,70000,EV_WO_DroneWave_SY00Q06_A,Destroy malfunctioning drones,[SYS_0 TS_SUB-Prometheus TS_DroneWave_SY00Q06_A],,//,,,//,,,//,,,,,,,,,NONE
SY00Q06,SY00Q06_C,CHECKPOINT_ALWAYS,FALSE,FALSE,MSAE_Tension-Soft,"MSOE_Tension-Soft
MMAUTO_STOP",,Zone_FaceDepot,70000,EV_IC_INT-SignalOnTilt(2),Activate the antennas,[SYS_0 TS_SUB-Prometheus TS_INT-SignalOnTilt],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q07,SY00Q07_A,CHECKPOINT_ALWAYS,FALSE,FALSE,LD_SY00Q04_G,,,,,EV_RP_EN-EmpireCapitalShip,Join Old Joe near Prometheus Station,[SYS_0 TS_SUB-Prometheus TS_SS-Caemeterium],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q07,SY00Q07_B0,CHECKPOINT_ALWAYS,FALSE,TRUE,"
CR_100",,,,,EV_BU_MOD10c-Laser_Starting,Buy the Old Joe's Laser in Prometheus Station,[SYS_0 TS_SUB-Prometheus TS_SS-Caemeterium],,//,,,//,,,//,,,,,,,,,NONE
SY00Q07,SY00Q07_B,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_MM_MOD10c-Laser_Starting,Equip the Old Joe's Laser,[SYS_0 TS_SUB-Prometheus TS_SS-Caemeterium],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q07,SY00Q07_C,NO_CHECKPOINT,FALSE,FALSE,LD_SY00Q07_D,,,,,EV_RP_Wave_SY00Q07_D,Follow the signal,[SYS_0 TS_SUB-Prometheus TS_Wave_SY00Q07_D],,//,,,//,,,//,,,//,,,,,,Follow the jamming signal detected by Homerus.
SY00Q07,SY00Q07_D,CHECKPOINT_ALWAYS,TRUE,FALSE,"MMAUTO_START
MSAE_LimboFight-NoLevel","MSOE_LimboFight-NoLevel
MMAUTO_STOP
ULD_SY00Q07_D",,,,EV_WO_Wave_SY00Q07_D,Clear the area of Zanion,[SYS_0 TS_SUB-Prometheus TS_Wave_SY00Q07_D],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q07,SY00Q07_D1,NO_CHECKPOINT,FALSE,FALSE,LD_SY00Q07_C,,,,,EV_RP_Wave_SY00Q07_C,Investigate the signal source,[SYS_0 TS_SUB-Prometheus TS_Wave_SY00Q07_C],,,,,,,,,,,,,,,,,NONE
SY00Q07,SY00Q07_D2,NO_CHECKPOINT,TRUE,FALSE,"MMAUTO_START
MSAE_LimboFight-NoLevel","MSOE_LimboFight-NoLevel
MMAUTO_STOP",,,,EV_WO_Wave_SY00Q07_C,Eliminate the threat,[SYS_0 TS_SUB-Prometheus TS_Wave_SY00Q07_C],,,,,,,,,,,,,,,,,NONE
SY00Q07,SY00Q07_E,CHECKPOINT_ALWAYS,TRUE,FALSE,,"ULD_SY00Q07_C
EAL_UP_50",,,,EV_IC_INT-MemoryFragment_Jammer,Examine the neural fragment,[SYS_0 TS_SUB-Prometheus TS_INT-MemoryFragment_Jammer],,//,,,//,,,//,,,,,,,,,NONE
SY00Q07,SY00Q07_F,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_RP_SS-Caemeterium,Report back to Old Joe at Prometheus Station,[SYS_0 TS_SUB-Prometheus TS_SS-Caemeterium],,//,,,//,,,//,,,,,,,,,"You eliminated the signal source blocking the gate, a raider known as J. Report back to Old Joe."
SY00Q07,SY00Q07_G,NO_CHECKPOINT,TRUE,FALSE,,,,,,EV_DC_TST_SY00Q07_G,Link Old Joe,,,//,,,//,,,//,,,,,,,,,NONE
SY00Q07,SY00Q07_H,CHECKPOINT_ALWAYS,TRUE,FALSE,,ULD_SY00Q04_G,,,,EV_SL_EN-EmpireCapitalShip,[H] - wait for cutscene,,,//,,,//,,,//,,,,,,,,,NONE
SY00Q07,SY00Q07_I,CHECKPOINT_ALWAYS,FALSE,FALSE,,CR_1000,,,,EV_IC_INT-MappingSystem_SY00Q04,Reactivate the mapping system,[SYS_0 TS_SUB-Prometheus TS_INT-MappingSystem_SY00Q04],,//,,,//,,,//,,,,,,,,,NONE
,SY00Q07_L,CHECKPOINT_ALWAYS,TRUE,FALSE,,,,,,EV_DC_TST_SY00Q07_L,,,,//,,,//,,,//,,,,,,,,,NONE
