COLLECTABLES,,,,,,,,,,,,,,,,,
EntityID,Rarity,UnlockRules,LockRules,OnlyInStationsIDs,IsAlwaysPresentInStations,ExcludeFromRolls,IsAlwaysPresentInStations,isGenericPY(orStarter),Note,Sblocchi visualizzato in,Can Be Sold,,Name,Description,Price,ModuleType,Quality
COL-Crystal,Uncommon,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Collectable,,,,12
COL-Gold,Common,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Collectable,,,,10
COL-Gold,Common,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Collectable,,,,10
COL-Gold,Common,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Collectable,,,,10
COL-Gold,Common,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Collectable,,,,10
COL-MetalJunk,Salvage,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Collectable,,,,2
COL-Radium,Epic,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Collectable,,,,15
COL-Recondigen,Epic,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Collectable,,,,13
COL-IC_Raw,Epic,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Consumable,,,,8
COL-IC_Raw,Epic,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Consumable,,,,8
COL-IC_Raw,Epic,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Consumable,,,,8
COL-IC_Raw,Epic,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Consumable,,,,8
COL-IC_Raw,Epic,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Consumable,,,,8
COL-WeaponCoolerA_S,Common,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Consumable,,,,5
COL-WeaponCoolerA_M,Uncommon,EV_TST_Unlock1,,,,TRUE,,FALSE,EV_CC_CUT_SY01Q00_E,,TRUE,,Consumable,,,,25
COL-WeaponCoolerA_L,Rare,EV_TST_Unlock1,,,,TRUE,,FALSE,QE_SY01Q05,,TRUE,,Consumable,,,,100
COL-NetShieldEnhancer_S,Common,EV_TST_Unlock1,,,,TRUE,,FALSE,QE_SY01Q05,,TRUE,,Consumable,,,,10
COL-IntegrityRecover_S,Common,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-BirthyRock,TRUE,,Consumable,,,,15
