SpaceStationID,SalvageItems,CommonItems,UncommonItems,RareItems,EpicItems,MythicItems,LegendaryItems,Blueprint,Unlock Event (cutscene),,,,,
SS-BirthyRock,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS01_BirthyRock,EV_IC_INT-StationRec-BirthyRock,,CUT_SSBirthyRockActive,,,
SS-Caemeterium,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS03_Caemeterium,EV_IC_INT-StationRec-Prometheus,,CUT_SSPrometheusActive,,,
SS-Casbhangar,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS02_Casbhangar,EV_IC_INT-StationRec-Dump,,CUT_SSDumpActive,,,
SS-MugaiBabe,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS04_MugaiBabe,EV_IC_INT-MugaiHub_SY01Q00,,CUT_SY01Q00_E,,,
SS-Marianan,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS06_Marianan,EV_IC_INT-StationRec-Marianan,,CUT_SSMariananActive,,,
SS-Opaleum,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS07_Opaleum,EV_IC_INT-StationRec-Opaleum,,SY01Q08_D_0,,,
SS-Sapphirum,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS08_Sapphirum,EV_IC_INT-StationRec-Sapphirum,, SY01Q09_E_0,,,
SS-Crystal,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS09_Crystal,EV_IC_INT-StationRec-Crystal,,SY01Q06_C_0,,,
SS-Emerald,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS10_Emerald,EV_IC_INT-StationRec-Emerald,,SY01Q07_D_0,,,
SS-GoldLastStand,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS_Gold,EV_CC_CUT_ERAST_DIALOGUE,,CUT_ERAST_DIALOGUE,,,
SS-IronLastStand,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS_Iron,EV_CC_CUT_HARU_DIALOGUE,,CUT_HARU_DIALOGUE,,,
SS-AsteroidDump,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS01_AsteroidDump,EV_IC_INT-StationRec-AsteroidDump,,,,,EV_TC_SY00Q07_B
SS-Galilean,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SP05_Galilean,EV_IC_INT-StationRec-Galilean,,CUT_SSGalileanActive,,,
SS-CageStation,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS01_CageStation,EV_IC_INT-StationRec-CageStation,,,,,
SS-MiningStation,2-2,2-2,2-2,2-2,2-2,2-2,2-2,BP_SS_Mining,EV_IC_INT-StationRegister-MiningStation,,,,,
SS-MutoidHut,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS16_MutoidHut,,,,,,
SS-Morya,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS15_I3_IronMoon2,,,,,,
SS-IronOre,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS15_I3_IronMoon3,,,,,,
SS-FineryForge,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS15_I3_IronMoon,,,,,,
SS-Smaug,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_Station_Gold_Smaug,,,,,,
SS-Theia,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_Station_Gold_Theia,,,,,,
SS-Heusos,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_Station_Gold_Heusos,,,,,,
SS-IronMoon,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS15_I3_IronMoon,,,,,,
SS-IronMeteor,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_IronStation_IronMeteor,,,,,,
SS-Kong,1-3,3-5,3-5,1-3,1-1,0-0,0-0,"BP_SS15_I3_IronMoon4
BP_SS15_I3_IronMoon5",,,,,,
SS-IronStationBase,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS12_IronStationBase,,,,,,
SS-Sesamus,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_Station_Gold_Heusos2,,,,,,
SS-Mandir,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_Station_Gold_Heusos3,,,,,,
SS-Klondike,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_Station_Gold_Heusos4,,,,,,
SS-GoldStationBase,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS20_GoldStationBase,,,,,,EV_QE_SY00Q03
SS-Macbeth,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS05_Macbeth,,,,,,EV_TC_SY00Q03_A
SS-MiddleTemple,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS18_MiddleTemple,EV_IC_INT-StationRec-MiddleTemple,,,,,
SS-Equilibrium,1-3,3-5,3-5,1-3,1-1,0-0,0-0,BP_SS22_Equilibrium,EV_IC_INT-StationRec-Equilibrium,,,,,EV_QE_SY00Q07
